とぼけた顔をしているが、その手は腰に伸びている。,少年虽然做出装糊涂的表情，但他的手却不自觉地伸向了腰际。,少年虽装傻，但手却不自觉伸向腰间。
「その聖女も先日、処刑された」,「那个圣女，在前些天也已经被处刑了」,
さすがに今度は助ける義理もない。,这次我可没有再去救下圣女的义务了。,
「この都市を救うための研究だ」,「这是为了拯救这座都市而进行的研究」,
「父上が始めたもので、病気の父上に代わって執政公が研究を続けている」,「这项研究是由父王发起的。在父王生病之后，便交给执政公来继续进行研究」,
「だから、具体的な内容を訊いてる」,「所以，我就是在问你那个具体的内容」,
「父上の始めた大切な研究だからな、邪魔が入っては困る」,「这是从父王当政时就开始的重要研究，被外人干涉就麻烦了」,
言い訳にしか聞こえない。,这个说法听上去完全就像是在辩解。,
「羽狩りの目的は？」,「羽狩的目的是什么？」,
話を聞いていると、リシアの知識はほとんどが執政公からの伝聞だ。,从莉西亚的话中可以感觉得到，她的知识基本上都是从执政公那里听来的传闻。,
「らしい？　また聞いた話か」,「好像是？又是听别人说的吗？」,
病気自体を疑う必要も出てきた。,这下子，就连生病本身都值得怀疑了。,
「それも執政公の受け売りか？」,「这也是从执政公那里现学现卖来的话吗？」,
「父上は国王として、父として私の理想のお方なのだ」,「无论是作为一国之君，还是作为一家之长，父王都是我所憧憬的对象」,
ジークなら卓を蹴り倒していることだろう。,换做是吉克在这里，估计都烦躁得想一脚把桌子踹飞了吧。,
寂しそうに微笑む。,莉西亚露出寂寞的微笑。,
「確かにそうだな、努力しよう」,「好像还真是这样，我会努力试试看」,
違和感があった。,一股违和感向我袭来。,
「隙だらけだぞ」,「浑身都是破绽哦」,
長外套の女──,披着长外套的女人――,
「ご苦労なことだな」,「那还真是辛苦你了啊」,
「片思いか、やれやれだ」,「唉，原来是我在单相思啊」,
ガウが笑う。,戈尔笑了起来。,
そんな規則、どうでもいいといった笑顔だった。,她的笑容仿佛在说，那种规矩，我根本不放在眼里。,
「犬同士、仲良くしようじゃないか」,「彼此都是他人的家犬，咱们就不能好好相处么？」,
とっておきの玩具を見るような、おぞましい視線をこちらに向けてくる。,她看着我的眼神就像是在审视着自己珍藏的玩具，这份被视线把玩的感觉让人不寒而栗。,
「何だ？」,「什么事？」,
一昨日、俺たちが落とした馬車のことだろう。,她指的应该是昨天夜里我们赶下去的那辆马车吧。,
「何度聞いても同じだ」,「就算你问多少次都一样」,
「誰が作っている？」,「是什么人制作出来的？」,
予想通りの答えだった。,她的回答和我所预想的相同。,
嬉しそうに口の端を歪める。,戈尔撇了撇嘴角，露出促狭的笑容。,
ガウの赤い舌が、唇の上を這う。,戈尔伸出赤红的舌头，舔了舔上唇。,
ルキウスか。,她是指鲁基乌斯么。,
意味深な含み笑いを残して、ガウは消えた。,留下一个意味深长的笑容后，戈尔便消失在走廊的尽头。,
「カイムか」,「是凯伊姆啊」,
「悪くない感触だった」,「她对我的印象好像不坏」,
「驚いた」,「那可真让我吃惊」,
ルキウスが笑う。,鲁基乌斯笑了起来。,
「あの細腕に自分の命がかかっていると思うと泣けてくるな」,「一想到自己的脑袋就挂在那双纤细的胳膊上，我就欲哭无泪啊」,
「多少な」,「多少算是吧」,
ルキウスは少し考え込む。,鲁基乌斯稍稍地思索了片刻。,
「リシアを牢獄に連れて行くか」,「你是要我把莉西亚带到牢狱去？」,
「それができれば一番だが、簡単ではない」,「虽然能做到这点是最好的，但想必也不会那么顺利」,
「方法はカイムに任せる」,「具体的做法就要靠你自己想了」,
「待て、全部俺任せなのか？」,「等等，你是要把这些事全推给我吗？」,
「リシア様に、貴族である私の言葉は届きにくい」,「作为贵族的我，是很难让莉西亚大人将我的话听进去的」,
「病が伝染するとの診断でな、陛下は発病後すぐに隔離されたらしい」,「医生诊断出的疾病带有传染的性质，所以陛下在病发之后似乎就立刻被隔离了」,
「これはあくまで噂だが」,「贵族间流传着这样一个传言」,
「リシア様は陛下の実子ではなく、王妃の不義の子かもしれない」,「莉西亚大人并非陛下的亲生女儿，而是王妃与他人私通所生下的孩子」,
「何だと？」,「你说什么？」,
事実だとすれば、王家を揺るがす大問題だろう。,如果这个传闻属实，那么这应该会成为足以让王室动荡的严重问题吧。,
「あくまで噂だ」,「但这毕竟也只是传言」,
「だが城内では有名な噂だ」,「不过在王城之中，这个传言可是相当的有名」,
「当人は面白くないだろうな」,「对于当事人来说，这可不是什么有趣的话题」,
ルキウスの表情が強ばっている。,鲁基乌斯的表情突然变得僵硬起来。,
「聞かれては困ると」,「被我知道会让你们困扰么」,
人に裏があるのは当然だ。,每个人都必然有其所不为人知的一面。,
システィナと別れ、自室に向かう。,离开西斯狄娜之后，我走向自己的房间。,
「はい、何でしょうか」,「好的，您要问什么呢？」,
最古参の召使いが知らないか。,就连资历最长的佣人都不知道么。,
それが、５年前に入った召使いが最古参。,但是在这个家里，５年前进门的佣人就已经是资历最老的了。,
ガウの言葉ではないが、臭う。,虽然不似戈尔说的那么严重，但也相当的可疑。,
「失礼致します」,「那么我就此告退」,
一体誰が？,那个人究竟是谁？,
「エリスの真似か」,「你是从艾莉斯那里学来的吧」,
「嫌ってほど、同じ台詞を聞かされた」,「因为同样的台词，我已经听到耳朵都长茧了」,
「で、用件は？」,「那么，找我有什么事？」,
「特にはありません……」,「倒也没有什么特别的事……」,
「まあ、お前はそうか」,「嘛，倒是很有你的风格」,
「普通に連れ出すのは難しいようだ」,「想要用普通的方法带她出去应该会很难」,
「連れ出す方法はその後だ」,「至于怎么把她带出去，那是后话」,
「お前なら、どうやって牢獄に興味を持たせる？」,「如果你是公主的话，要怎么样才会对牢狱感兴趣？」,
「あれ？　牢獄に興味があるってことじゃ？」,「啊咧？公主大人不是已经对牢狱很感兴趣了吗？」,
見るからに期待できない。,一眼看上去就让人全无期待。,
「ご飯ですね」,「应该是食物吧」,
「飯？」,「食物？」,
「お前だけだろ」,「那也仅限于你吧」,
ふん、と頷いた。,缇娅嗯嗯地点着头。,
自信があるらしい。,她好像很有自信的样子。,
ティアの料理なら外れはないだろう。,缇娅的料理应该会受到相当大的欢迎吧。,
これで上手くいけば御の字だ。,如果这一招能奏效，那就再好不过了。,
「誰だ」,「什么人」,
気に入られるのは願ったり叶ったりだが。,如果她真这么中意我，那我可也算是得偿所愿了。,
「なぜその服を？」,「为什么要穿那件？」,
「出会った時の、記念の服だからな」,「这是咱们相遇的时候，值得纪念的衣服」,
「この方が話しやすいだろう？」,「这样说起话来也会比较轻松吧？」,
「別に変わらん」,「我倒不觉得有什么区别」,
「知り合いだ」,「不是，是我一个熟人」,
「牢獄の飯に興味はないか？」,「你对牢狱的饭菜没有兴趣吗？」,
一国の女王だ、当然のことだろう。,对于一个国家的女王来说，这也是自然的事情。,
もちろん、口説き方は考えてきた。,当然，我已经事先想好说服她的措辞了。,
並べた料理を一口ずつ食べてみせる。,我从摆在桌上的料理中，各自捡了一样吃掉。,
「この通り毒は入っていない」,「现在你应该就知道这里没放毒了吧」,
